512, 967
543, 1063
579, 1159
623, 1256
674, 1343
744, 1415
834, 1465
939, 1487
1051, 1469
1164, 1427
1258, 1366
1343, 1289
1396, 1194
1406, 1077
1396, 955
1381, 833
1363, 714
510, 820
533, 746
595, 704
673, 688
756, 686
833, 643
915, 592
1004, 559
1100, 556
1185, 599
815, 746
823, 798
830, 849
838, 906
810, 1021
846, 1015
882, 1006
920, 986
957, 973
603, 874
634, 835
682, 813
738, 821
697, 847
648, 867
961, 740
999, 702
1052, 689
1107, 699
1067, 719
1016, 733
815, 1249
829, 1151
866, 1094
908, 1089
944, 1068
1020, 1089
1097, 1141
1049, 1194
994, 1234
952, 1255
909, 1268
863, 1270
837, 1234
883, 1149
922, 1134
960, 1120
1068, 1142
970, 1180
931, 1197
890, 1210
737, 388
526, 1175
1552, 855
1107, 1833
18, 1761
2000, 1905
9, 12
2041, 15
2032, 2792
9, 2786
997, 12
2041, 1338
1022, 2792
6, 1322
