499, 1219
522, 1369
548, 1518
582, 1666
655, 1797
763, 1915
882, 2013
1011, 2086
1137, 2093
1258, 2059
1362, 1958
1452, 1841
1525, 1715
1567, 1576
1590, 1436
1608, 1294
1615, 1145
581, 1152
662, 1095
767, 1094
865, 1114
970, 1145
1138, 1137
1238, 1102
1332, 1072
1431, 1063
1513, 1108
1069, 1254
1079, 1369
1093, 1487
1107, 1602
988, 1642
1045, 1658
1103, 1676
1157, 1652
1203, 1626
711, 1265
769, 1236
845, 1238
905, 1278
837, 1300
764, 1299
1212, 1260
1263, 1213
1335, 1208
1396, 1231
1347, 1269
1276, 1275
899, 1802
974, 1784
1046, 1767
1099, 1783
1150, 1760
1210, 1768
1285, 1768
1220, 1835
1166, 1874
1110, 1886
1051, 1885
976, 1859
925, 1807
1046, 1813
1102, 1819
1155, 1804
1256, 1778
1158, 1800
1103, 1818
1048, 1814
1045, 707
431, 1241
1728, 1191
1293, 2358
21, 2278
2023, 2225
9, 3
2041, 9
2032, 3010
15, 3007
1008, 9
2038, 1433
1017, 3007
12, 1399
